1Agent_id,2fast turn number,3turning_speed,4hb_number,5acc_number,6Average over speed,7ov_duration,8speeding times,9time
495764,4,4.061425769,33,14,76.45080485,20178,616,196157
495765,2,3.833978912,185,20,35.41446057,18349,468,136971
495772,4,3.941179245,269,89,84.48775947,27360,592,183988
495863,1,4.025394906,12,5,28.48238546,21571,577,209755
499289,0,1.456855091,4,0,0.069971365,126,3,5843
504681,2,3.530192734,134,80,62.57728745,8987,261,106328
518939,2,4.209600488,71,2,33.91910965,4486,225,39507
534234,1,3.757679861,243,40,42.1991156,13818,514,130699
539948,4,3.593744737,90,33,20.97305027,8838,311,136422
551336,0,3.299594258,108,115,52.35261902,8700,223,67793
526676,0,0.880637952,26,90,2.722783734,49,9,47009
526678,8,4.098213147,6,0,8.495979215,9707,168,29247
526679,0,4.224035641,19,7,11.78859725,9864,213,45764
526680,7,2.78228735,3,0,2.169242627,820,35,4679
526682,1,3.195735605,17,1,2.675802627,873,43,14747
526683,0,3.222185291,46,3,7.43891721,4039,142,18948
526684,0,2.913384821,7,0,1.655997513,676,39,21230
526685,0,2.204062698,17,0,0.574087326,27,4,15012
526686,0,2.936111933,1,1,0.179466199,99,5,8098
526687,0,3.541482906,0,0,1.64101725,2041,40,10383
526688,1,3.515756995,71,0,18.76726171,8568,228,46890
526689,3,4.404775688,30,5,14.67811569,5583,217,28829
526690,10,3.5659822,58,31,6.892397038,4081,154,62639
526691,1,3.158014854,116,12,18.27656779,7123,271,89182
526692,3,3.383156567,59,5,6.769978697,7455,125,30268
526693,3,4.017836992,1,3,13.83298317,18579,330,71253
526694,0,3.973905139,27,2,6.121520596,2705,94,26515
526695,2,4.576409473,56,6,35.54767195,13218,437,125063
526696,11,3.525667407,104,2,15.57183765,8208,209,56223
526697,1,4.483864031,59,5,15.26703954,10882,180,40206
526698,0,3.99960361,17,1,0.811825708,335,19,12545
526699,1,3.404762775,1,0,0.203739083,182,12,2539
526700,1,4.244191165,3,0,1.642034069,2853,36,14442
526701,1,3.197782826,27,1,6.308314336,5933,127,39329
